Ciclo,Inicio,Fim,Estados únicos,Motivos únicos,Quantidade Linhas PreBack,Quantidade Linhas Backtest
D65,2023-02-06 16:48:00,2023-02-07 10:06:00,['desativada'],['Mantém estado'],12,12
D66,2023-02-07 11:45:00,2023-02-07 13:41:00,['desativada'],['Mantém estado'],19,19
D67,2023-02-07 14:14:00,2023-02-07 14:17:00,['desativada'],['Mantém estado'],2,2
D68,2023-02-07 14:26:00,2023-02-09 10:58:00,['desativada'],['Mantém estado'],111,111
D69,2023-02-09 11:18:00,2023-02-10 13:46:00,['desativada'],['Mantém estado'],105,105
D70,2023-02-10 13:58:00,2023-02-10 14:37:00,['desativada'],['Mantém estado'],7,7
D71,2023-02-10 15:14:00,2023-02-13 10:18:00,['desativada'],['Mantém estado'],32,32
D72,2023-02-13 10:36:00,2023-02-13 10:44:00,['desativada'],['Mantém estado'],3,3
D73,2023-02-13 11:12:00,2023-02-17 10:44:00,['desativada'],['Mantém estado'],276,276
D74,2023-02-17 11:04:00,2023-02-17 11:17:00,['desativada'],['Mantém estado'],3,3
D75,2023-02-17 11:42:00,2023-02-17 11:53:00,['desativada'],['Mantém estado'],3,3
D76,2023-02-17 12:03:00,2023-02-17 12:07:00,['desativada'],['Mantém estado'],2,2
D77,2023-02-17 13:34:00,2023-02-17 14:48:00,['desativada'],['Mantém estado'],12,12
D78,2023-02-17 14:52:00,2023-02-17 15:00:00,['desativada'],['Mantém estado'],3,3
D79,2023-02-17 15:24:00,2023-02-17 15:47:00,['desativada'],['Mantém estado'],4,4
D80,2023-02-17 16:16:00,2023-02-17 16:44:00,['desativada'],['Mantém estado'],4,4
D81,2023-02-17 16:59:00,2023-02-17 17:05:00,['desativada'],['Mantém estado'],3,3
D82,2023-02-17 17:10:00,2023-02-22 13:57:00,['desativada'],['Mantém estado'],9,9
D83,2023-02-22 14:52:00,2023-02-22 15:08:00,['desativada'],['Mantém estado'],3,3
D84,2023-02-22 15:29:00,2023-02-22 15:39:00,['desativada'],['Mantém estado'],3,3
D85,2023-02-22 16:04:00,2023-02-22 16:34:00,['desativada'],['Mantém estado'],4,4
D86,2023-02-22 16:48:00,2023-02-22 17:23:00,['desativada'],['Mantém estado'],4,4
D87,2023-03-01 09:30:00,2023-03-01 09:45:00,['desativada'],['Mantém estado'],3,3
D88,2023-03-01 10:10:00,2023-03-13 11:01:00,['desativada'],['Mantém estado'],569,569
D89,2023-03-13 11:31:00,2023-03-14 11:12:00,['desativada'],['Mantém estado'],65,65
D90,2023-03-14 11:57:00,2023-03-14 12:23:00,['desativada'],['Mantém estado'],4,4
D91,2023-03-14 13:24:00,2023-03-14 16:15:00,['desativada'],['Mantém estado'],23,23
D92,2023-03-14 16:30:00,2023-03-14 16:52:00,['desativada'],['Mantém estado'],4,4
D93,2023-03-15 09:40:00,2023-03-15 09:51:00,['desativada'],['Mantém estado'],3,3
D94,2023-03-15 10:28:00,2023-03-16 09:02:00,['desativada'],['Mantém estado'],61,61
D95,2023-03-16 09:34:00,2023-03-16 09:44:00,['desativada'],['Mantém estado'],3,3
D96,2023-03-16 10:01:00,2023-03-21 11:09:00,['desativada'],['Mantém estado'],216,216
D97,2023-03-21 11:18:00,2023-03-21 11:26:00,['desativada'],['Mantém estado'],3,3
D98,2023-03-21 12:28:00,2023-03-21 13:21:00,['desativada'],['Mantém estado'],10,10
D99,2023-03-21 13:44:00,2023-03-21 13:50:00,['desativada'],['Mantém estado'],3,3
D100,2023-03-21 14:23:00,2023-03-21 14:35:00,['desativada'],['Mantém estado'],3,3
D101,2023-03-21 15:00:00,2023-03-21 15:12:00,['desativada'],['Mantém estado'],3,3
D102,2023-03-21 15:30:00,2023-03-21 16:50:00,['desativada'],['Mantém estado'],18,18
D103,2023-03-21 17:15:00,2023-03-22 09:16:00,['desativada'],['Mantém estado'],5,5
D104,2023-03-22 10:03:00,2023-03-22 10:12:00,['desativada'],['Mantém estado'],3,3
D105,2023-03-22 10:27:00,2023-03-22 10:45:00,['desativada'],['Mantém estado'],3,3
D106,2023-03-22 11:27:00,2023-03-22 11:37:00,['desativada'],['Mantém estado'],3,3
D107,2023-03-22 12:09:00,2023-03-22 13:20:00,['desativada'],['Mantém estado'],16,16
D108,2023-03-22 13:55:00,2023-04-13 15:53:00,['desativada'],['Mantém estado'],1223,1223
D109,2023-04-13 16:01:00,2023-04-13 16:15:00,['desativada'],['Mantém estado'],4,4
D110,2023-04-13 17:08:00,2023-04-14 09:02:00,['desativada'],['Mantém estado'],4,4
D111,2023-04-14 09:04:00,2023-04-14 10:18:00,['desativada'],['Mantém estado'],12,12
D112,2023-04-14 10:27:00,2023-04-19 17:13:00,['desativada'],['Mantém estado'],264,264
D113,2023-04-19 17:30:00,2023-04-19 17:33:00,['desativada'],['Mantém estado'],3,3
D114,2023-04-20 09:25:00,2023-04-20 09:30:00,['desativada'],['Mantém estado'],2,2
D115,2023-04-20 10:00:00,2023-04-20 10:10:00,['desativada'],['Mantém estado'],2,2
D116,2023-04-20 10:22:00,2023-04-24 09:35:00,['desativada'],['Mantém estado'],74,74
D117,2023-04-24 10:06:00,2023-04-25 10:49:00,['desativada'],['Mantém estado'],91,91
D118,2023-04-25 11:57:00,2023-04-25 15:22:00,['desativada'],['Mantém estado'],32,32
D119,2023-04-25 15:50:00,2023-04-25 16:27:00,['desativada'],['Mantém estado'],10,10
D120,2023-04-25 16:52:00,2023-04-25 17:37:00,['desativada'],['Mantém estado'],8,8
D121,2023-04-26 09:04:00,2023-04-26 11:11:00,['desativada'],['Mantém estado'],20,20
D122,2023-04-26 11:31:00,2023-04-26 12:04:00,['desativada'],['Mantém estado'],4,4
D123,2023-04-26 12:27:00,2023-04-26 12:33:00,['desativada'],['Mantém estado'],3,3
D124,2023-04-26 12:38:00,2023-04-27 17:35:00,['desativada'],['Mantém estado'],130,130
D125,2023-04-28 09:31:00,2023-05-02 13:42:59,['desativada'],['Mantém estado'],129,129
D126,2023-05-02 13:56:35,2023-05-03 11:00:00,['desativada'],['Mantém estado'],45,45
D127,2023-05-03 12:06:00,2023-05-03 12:23:00,['desativada'],['Mantém estado'],4,4
D128,2023-05-03 12:53:00,2023-05-03 13:04:00,['desativada'],['Mantém estado'],3,3
D129,2023-05-03 13:14:00,2023-05-03 13:36:00,['desativada'],['Mantém estado'],4,4
D130,2023-05-03 14:19:00,2023-05-03 14:45:00,['desativada'],['Mantém estado'],3,3
D131,2023-05-03 16:07:00,2023-05-03 16:32:00,['desativada'],['Mantém estado'],3,3
D132,2023-05-03 17:36:00,2023-05-04 09:30:00,['desativada'],['Mantém estado'],4,4
D133,2023-05-04 09:36:00,2023-05-04 10:06:00,['desativada'],['Mantém estado'],2,2
D134,2023-05-04 10:38:00,2023-05-04 11:19:00,['desativada'],['Mantém estado'],7,7
D135,2023-05-04 11:39:00,2023-05-04 11:46:00,['desativada'],['Mantém estado'],3,3
D136,2023-05-04 12:17:00,2023-05-04 12:42:00,['desativada'],['Mantém estado'],4,4
D137,2023-05-04 13:28:00,2023-05-04 13:36:00,['desativada'],['Mantém estado'],3,3
D138,2023-05-04 14:16:00,2023-05-04 14:24:00,['desativada'],['Mantém estado'],2,2
D139,2023-05-04 14:29:00,2023-05-15 14:21:00,['desativada'],['Mantém estado'],514,514
D140,2023-05-15 14:31:00,2023-05-15 14:43:00,['desativada'],['Mantém estado'],3,3
D141,2023-05-15 15:00:00,2023-05-15 15:11:00,['desativada'],['Mantém estado'],3,3
D142,2023-05-15 15:42:00,2023-05-15 17:09:00,['desativada'],['Mantém estado'],14,14
D143,2023-05-16 09:57:00,2023-05-16 10:10:00,['desativada'],['Mantém estado'],2,2
D144,2023-05-16 10:28:00,2023-05-16 12:12:00,['desativada'],['Mantém estado'],12,12
D145,2023-05-16 12:43:00,2023-05-16 15:10:00,['desativada'],['Mantém estado'],30,30
D146,2023-05-16 15:57:00,2023-05-17 09:05:00,['desativada'],['Mantém estado'],14,14
D147,2023-05-17 09:43:00,2023-05-17 12:15:00,['desativada'],['Mantém estado'],24,24
D148,2023-05-17 13:05:00,2023-05-17 13:29:00,['desativada'],['Mantém estado'],3,3
D149,2023-05-17 13:57:00,2023-05-17 14:51:00,['desativada'],['Mantém estado'],8,8
D150,2023-05-17 15:06:00,2023-05-17 15:35:00,['desativada'],['Mantém estado'],6,6
D151,2023-05-17 16:02:00,2023-05-17 16:19:00,['desativada'],['Mantém estado'],6,6
D152,2023-05-17 16:43:00,2023-05-22 09:19:00,['desativada'],['Mantém estado'],153,153
D153,2023-05-22 10:06:00,2023-05-22 11:39:00,['desativada'],['Mantém estado'],14,14
D154,2023-05-22 11:41:00,2023-05-22 11:45:00,['desativada'],['Mantém estado'],2,2
D155,2023-05-22 11:53:00,2023-05-22 12:49:00,['desativada'],['Mantém estado'],10,10
D156,2023-05-22 12:51:00,2023-05-22 13:20:00,['desativada'],['Mantém estado'],3,3
D157,2023-05-22 14:35:00,2023-05-22 15:22:00,['desativada'],['Mantém estado'],7,7
